Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
ELANE	1991	GO:0002020;protease binding|GO:0003714;transcription corepressor activity|GO:0004175;endopeptidase activity|GO:0004252;serine-type endopeptidase activity|GO:0004252;serine-type endopeptidase activity|GO:0005515;protein binding|GO:0008201;heparin binding|GO:0008233;peptidase activity|GO:0019955;cytokine binding	GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0001878;response to yeast|GO:0002438;acute inflammatory response to antigenic stimulus|GO:0002523;leukocyte migration involved in inflammatory response|GO:0002812;biosynthetic process of antibacterial peptides active against Gram-negative bacteria|GO:0006508;proteolysis|GO:0006508;proteolysis|GO:0006874;cellular calcium ion homeostasis|GO:0006909;phagocytosis|GO:0009411;response to UV|GO:0019730;antimicrobial humoral response|GO:0022617;extracellular matrix disassembly|GO:0030163;protein catabolic process|GO:0032496;response to lipopolysaccharide|GO:0042742;defense response to bacterium|GO:0043312;neutrophil degranulation|GO:0043406;positive regulation of MAP kinase activity|GO:0045079;negative regulation of chemokine biosynthetic process|GO:0045415;negative regulation of interleukin-8 biosynthetic process|GO:0045416;positive regulation of interleukin-8 biosynthetic process|GO:0048661;positive regulation of smooth muscle cell proliferation|GO:0050728;negative regulation of inflammatory response|GO:0050778;positive regulation of immune response|GO:0050922;negative regulation of chemotaxis|GO:0070945;neutrophil mediated killing of gram-negative bacterium|GO:0070947;neutrophil mediated killing of fungus|GO:1903238;positive regulation of leukocyte tethering or rolling	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0009986;cell surface|GO:0017053;transcriptional repressor complex|GO:0030141;secretory granule|GO:0035578;azurophil granule lumen|GO:0035580;specific granule lumen|GO:0045335;phagocytic vesicle|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Process
DEFB103A	414325	GO:0031731;CCR6 chemokine receptor binding|GO:0042056;chemoattractant activity	GO:0006935;chemotaxis|GO:0019730;antimicrobial humoral response|GO:0031640;killing of cells of other organism|GO:0042742;defense response to bacterium|GO:0042742;defense response to bacterium|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050918;positive chemotaxis|GO:0051873;killing by host of symbiont cells|GO:0060326;cell chemotaxis	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005796;Golgi lumen	Process
DEFA3	1668	GO:0003674;molecular_function|GO:0042803;protein homodimerization activity	GO:0002227;innate immune response in mucosa|GO:0002227;innate immune response in mucosa|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0019731;antibacterial humoral response|GO:0030520;intracellular estrogen receptor signaling pathway|GO:0031640;killing of cells of other organism|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050832;defense response to fungus|GO:0051607;defense response to virus|GO:0051673;membrane disruption in other organism|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005796;Golgi lumen|GO:0035578;azurophil granule lumen|GO:0070062;extracellular exosome	Process
DEFA1	1667		GO:0002227;innate immune response in mucosa|GO:0002227;innate immune response in mucosa|GO:0006935;chemotaxis|GO:0006955;immune response|GO:0010818;T cell chemotaxis|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0019731;antibacterial humoral response|GO:0030520;intracellular estrogen receptor signaling pathway|GO:0031640;killing of cells of other organism|GO:0042832;defense response to protozoan|GO:0043312;neutrophil degranulation|GO:0044657;pore formation in membrane of other organism during symbiotic interaction|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050832;defense response to fungus|GO:0051607;defense response to virus|GO:0051673;membrane disruption in other organism|GO:0051873;killing by host of symbiont cells|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005796;Golgi lumen|GO:0035578;azurophil granule lumen|GO:0062023;collagen-containing extracellular matrix|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Process
TMSB10	9168	GO:0003785;actin monomer binding|GO:0005515;protein binding	GO:0007015;actin filament organization|GO:0030334;regulation of cell migration|GO:0042989;sequestering of actin monomers	GO:0005737;cytoplasm|GO:0005856;cytoskeleton	Process
DEFA6	1671	GO:0005515;protein binding|GO:0042803;protein homodimerization activity	GO:0002227;innate immune response in mucosa|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0031640;killing of cells of other organism|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050832;defense response to fungus|GO:0051673;membrane disruption in other organism|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005796;Golgi lumen	Process
DEFA5	1670	GO:0042803;protein homodimerization activity	GO:0002227;innate immune response in mucosa|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0031640;killing of cells of other organism|GO:0045087;innate immune response|GO:0050829;defense response to Gram-negative bacterium|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050832;defense response to fungus|GO:0051673;membrane disruption in other organism|GO:0051873;killing by host of symbiont cells|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0071222;cellular response to lipopolysaccharide|GO:1905710;positive regulation of membrane permeability	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005796;Golgi lumen|GO:0030133;transport vesicle|GO:0030496;midbody|GO:0034774;secretory granule lumen|GO:0043231;intracellular membrane-bounded organelle	Process
DEFA4	1669	GO:0042803;protein homodimerization activity	GO:0002227;innate immune response in mucosa|GO:0019730;antimicrobial humoral response|GO:0019730;antimicrobial humoral response|GO:0019731;antibacterial humoral response|GO:0019731;antibacterial humoral response|GO:0019732;antifungal humoral response|GO:0031640;killing of cells of other organism|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0050829;defense response to Gram-negative bacterium|GO:0050829;defense response to Gram-negative bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050830;defense response to Gram-positive bacterium|GO:0050832;defense response to fungus|GO:0051673;membrane disruption in other organism|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0071222;cellular response to lipopolysaccharide	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005796;Golgi lumen|GO:0035580;specific granule lumen|GO:0042582;azurophil granule	Process
LCN2	3934	GO:0002020;protease binding|GO:0005506;iron ion binding|GO:0005506;iron ion binding|GO:0036094;small molecule binding|GO:0042802;identical protein binding|GO:1903981;enterobactin binding	GO:0006879;cellular iron ion homeostasis|GO:0009615;response to virus|GO:0009635;response to herbicide|GO:0010046;response to mycotoxin|GO:0010628;positive regulation of gene expression|GO:0015891;siderophore transport|GO:0019221;cytokine-mediated signaling pathway|GO:0019730;antimicrobial humoral response|GO:0031346;positive regulation of cell projection organization|GO:0031669;cellular response to nutrient levels|GO:0042742;defense response to bacterium|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0070301;cellular response to hydrogen peroxide|GO:0071222;cellular response to lipopolysaccharide|GO:0071347;cellular response to interleukin-1|GO:0071356;cellular response to tumor necrosis factor|GO:0097192;extrinsic apoptotic signaling pathway in absence of ligand|GO:0097577;sequestering of iron ion|GO:0120162;positive regulation of cold-induced thermogenesis	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005829;cytosol|GO:0035580;specific granule lumen|GO:0070062;extracellular exosome	Function
LCN1	3933	GO:0004869;cysteine-type endopeptidase inhibitor activity|GO:0005102;signaling receptor binding|GO:0008270;zinc ion binding|GO:0031404;chloride ion binding|GO:0036094;small molecule binding	GO:0001895;retina homeostasis|GO:0006508;proteolysis|GO:0010951;negative regulation of endopeptidase activity|GO:0015909;long-chain fatty acid transport|GO:0050896;response to stimulus|GO:0050909;sensory perception of taste	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space	Process
COLEC10	10584	GO:0042056;chemoattractant activity	GO:0001867;complement activation, lectin pathway|GO:0006956;complement activation|GO:0050918;positive chemotaxis|GO:1904888;cranial skeletal system development	GO:0005576;extracellular region|GO:0005581;collagen trimer|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0005794;Golgi apparatus	Process
BPI	671	GO:0001530;lipopolysaccharide binding|GO:0001530;lipopolysaccharide binding	GO:0019730;antimicrobial humoral response|GO:0031663;lipopolysaccharide-mediated signaling pathway|GO:0032715;negative regulation of interleukin-6 production|GO:0032715;negative regulation of interleukin-6 production|GO:0032717;negative regulation of interleukin-8 production|GO:0032717;negative regulation of interleukin-8 production|GO:0032720;negative regulation of tumor necrosis factor production|GO:0032720;negative regulation of tumor necrosis factor production|GO:0043031;negative regulation of macrophage activation|GO:0043031;negative regulation of macrophage activation|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0050829;defense response to Gram-negative bacterium	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0016020;membrane|GO:0035578;azurophil granule lumen|GO:0035580;specific granule lumen|GO:0070062;extracellular exosome	Component
S100A9	6280	GO:0005509;calcium ion binding|GO:0005515;protein binding|GO:0008017;microtubule binding|GO:0008270;zinc ion binding|GO:0016209;antioxidant activity|GO:0035662;Toll-like receptor 4 binding|GO:0050544;arachidonic acid binding|GO:0050786;RAGE receptor binding	GO:0001816;cytokine production|GO:0002224;toll-like receptor signaling pathway|GO:0002523;leukocyte migration involved in inflammatory response|GO:0006914;autophagy|GO:0006915;apoptotic process|GO:0006919;activation of cysteine-type endopeptidase activity involved in apoptotic process|GO:0006954;inflammatory response|GO:0007267;cell-cell signaling|GO:0010976;positive regulation of neuron projection development|GO:0019730;antimicrobial humoral response|GO:0030307;positive regulation of cell growth|GO:0030593;neutrophil chemotaxis|GO:0032119;sequestering of zinc ion|GO:0032602;chemokine production|GO:0035606;peptidyl-cysteine S-trans-nitrosylation|GO:0035821;modification of morphology or physiology of other organism|GO:0042742;defense response to bacterium|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0050729;positive regulation of inflammatory response|GO:0050832;defense response to fungus|GO:0051092;positive regulation of NF-kappaB transcription factor activity|GO:0051493;regulation of cytoskeleton organization|GO:0061844;antimicrobial humoral immune response mediated by antimicrobial peptide|GO:0070488;neutrophil aggregation|GO:0098869;cellular oxidant detoxification|GO:2001244;positive regulation of intrinsic apoptotic signaling pathway	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005634;nucleus|GO:0005654;nucleoplasm|GO:0005737;cytoplasm|GO:0005829;cytosol|GO:0005829;cytosol|GO:0005856;cytoskeleton|GO:0005886;plasma membrane|GO:0030054;cell junction|GO:0034774;secretory granule lumen|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Process
